2026-05-20 16:04:45,808 | INFO | Hovered on GENZ
2026-05-20 16:04:58,304 | INFO | Clicked Women's Dresses
2026-05-20 16:05:30,651 | INFO | Hovered on GENZ
2026-05-20 16:05:39,220 | INFO | Clicked Men's T-Shirts
2026-05-20 16:05:57,077 | INFO | Hovered on GENZ
2026-05-20 16:06:14,457 | INFO | Clicked Men's Kurtas
2026-05-20 16:06:32,012 | INFO | Hovered on GENZ
2026-05-20 16:06:47,504 | INFO | Clicked Men's Shoes
2026-05-20 16:07:06,834 | INFO | Hovered on GENZ
2026-05-20 16:07:25,260 | INFO | Clicked Skincare
2026-05-20 16:07:42,940 | INFO | Hovered on GENZ
2026-05-20 16:07:58,477 | INFO | Clicked Jwellery
2026-05-20 16:08:16,715 | INFO | Hovered on GENZ
2026-05-20 16:08:34,164 | INFO | Clicked Heels
2026-05-20 21:03:20,520 | INFO | Hovered on GENZ
2026-05-20 21:03:33,554 | INFO | Clicked Women's Dresses
2026-05-20 21:04:05,218 | INFO | Hovered on GENZ
2026-05-20 21:04:13,756 | INFO | Clicked Men's T-Shirts
2026-05-20 21:04:30,928 | INFO | Hovered on GENZ
2026-05-20 21:04:46,306 | INFO | Clicked Men's Kurtas
2026-05-20 21:05:04,889 | INFO | Hovered on GENZ
2026-05-20 21:05:20,085 | INFO | Clicked Men's Shoes
2026-05-20 21:05:38,231 | INFO | Hovered on GENZ
2026-05-20 21:05:53,584 | INFO | Clicked Jwellery
2026-05-20 21:12:20,257 | INFO | Hovered on GENZ
2026-05-20 21:12:32,910 | INFO | Clicked Women's Dresses
2026-05-20 21:13:04,383 | INFO | Hovered on GENZ
2026-05-20 21:13:15,256 | INFO | Clicked Men's T-Shirts
2026-05-20 21:13:30,480 | INFO | Hovered on GENZ
2026-05-20 21:13:47,765 | INFO | Clicked Men's Kurtas
2026-05-20 21:14:02,523 | INFO | Hovered on GENZ
2026-05-20 21:14:18,102 | INFO | Clicked Men's Shoes
